,country,name,title,woman_title,Woman Candidate Master (WCM),Candidate Master (CM),Woman FIDE Master (WFM),FIDE Master (FM),Woman International Master (WIM),International Master (IM),Woman Grandmaster (WGM),Grandmaster (GM)
167,BUL,"Popov, Luben",IM,,,,,,,1965.0,,
168,GER,"Reichenbach, Werner",FM,,,,,,,,,
169,HUN,"Tabor, Jozsef",IM,,,,,,,1984.0,,
170,RUS,"Taubin, Grigorij",FM,,,,,,,,,
171,AUT,"Titz, Heimo",FM,,,,,,,,,
172,SRB,"Todorovic, Milorad",FM,,,,,,,,,
173,USA,"Volovich, Anatoly",FM,,,,,,,,,
174,MEX,"Acevedo Milan, Armando",FM,,,,,,,,,
175,CAN,"Adam, Valerian",IM,,,,,,,2009.0,,
176,UKR,"Andreieva, Olga A",WIM,WIM,,,,,,,,
177,SRB,"Antonic, Dusan",FM,,,,,,,,,
178,GER,"Axt, Helga",WIM,WIM,,,,,1961.0,,,
179,UKR,"Berov, Arkady",IM,,,,,,,,,
180,RUS,"Brodskiy, Leontiy",FM,,,,,,,,,
181,SLO,"Bukic, Enver",GM,,,,,,,1964.0,,1976.0
182,PHI,"Cardoso, Radolfo Tan",IM,,,,,,,1957.0,,
183,VEN,"Caro, Napoleon Alberto",CM,,,2014.0,,,,,,
184,GER,"Cording, Harm",FM,,,,,,,,,
185,RUS,"Dzhafarov, Oleg",FM,,,,,,,,,
186,AUS,"Egan, Bill",CM,,,2013.0,,,,,,
187,AUS,"Flatow, Alfred",FM,,,,,,,,,
188,RUS,"Gurin, Anatoly",FM,,,,,2008.0,,,,
189,RUS,"Ilkin, Albert",FM,,,,,,,,,
190,RUS,"Kiparenko, Galina",WFM,WFM,,,,,,,,
191,POL,"Kostro, Jerzy",IM,,,,,,,1968.0,,
192,GER,"Laakmann, Anni",WFM,WFM,,,,,,,,
193,NED,"Langeweg, Kick",IM,,,,,,,1962.0,,
194,RUS,"Lazarev, Gennady",IM,,,,,,,1998.0,,
195,RUS,"Lediakin, Gennady",FM,,,,,,,,,
196,HUN,"Liptay, Laszlo Dr.",IM,,,,,,,1983.0,,
197,RUS,"Mogilny, Evgeny",FM,,,,,,,,,
198,GER,"Neese, Hans-Joachim",FM,,,,,2007.0,,,,
199,RUS,"Ostrovsky, Alexander",FM,,,,,,,,,
200,SRB,"Palosevic, Abidin",FM,,,,,,,,,
201,ROU,"Pavlov, Mircea-Sergiu-Aurelian",IM,,,,,,,1977.0,,
202,CAN,"Pelts, Roman",FM,,,,,,,,,
203,HUN,"Portisch, Lajos",GM,,,,,,,1958.0,,1961.0
204,RUS,"Pres, Grigorij",FM,,,,,,,,,
205,UKR,"Pryyomov, S.I.",IM,,,,,,,2005.0,,
206,ARG,"Rodriguez, Alberto",FM,,,,,,,,,
207,ESP,"Romero Briones, Antonio",CM,,,2008.0,,,,,,
208,USA,"Saidy, Anthony",IM,,,,,,,1969.0,,
209,RUS,"Spassky, Boris V.",GM,,,,,,,1953.0,,1955.0
210,RUS,"Spassky, Georgy",FM,,,,,,,,,
211,FRA,"Strausz, Janos",FM,,,,,,,,,
212,RUS,"Strupinsky, Vladimir",FM,,,,,,,,,
213,POL,"Sydor, Andrzej",IM,,,,,,,1970.0,,
214,RUS,"Trofimov, Alexandr",FM,,,,,,,,,
215,FRA,"Vaisman, Volodia",IM,,,,,,,1975.0,,
216,USA,"Vukcevich, Milan",FM,,,,,,,,,
217,SRB,"Vuruna, Miodrag",FM,,,,,,,,,
218,UKR,"Yakovenko, Ivan",FM,,,,,2007.0,,,,
219,ECU,"Yepez, Olavo",IM,,,,,,,1969.0,,
220,RUS,"Zaitsev, Igor A",GM,,,,,,,1970.0,,1976.0
221,POL,"Zoltek, Tadeusz",FM,,,,,,,,,
222,RUS,"Altshul, Raffael",FM,,,,,,,,,
223,RUS,"Artyushikhin, Valentin",FM,,,,,,,,,
224,GER,"Bachmann, Karlheinz",FM,,,,,,,,,
225,ARG,"Balduzzi, Reynaldo",FM,,,,,,,,,
226,GER,"Biebinger, Gerhard",FM,,,,,,,,,
227,RUS,"Bronshtein, Iosif",FM,,,,,2005.0,,,,
228,SRB,"Cabarkapa, Milenko",IM,,,,,,,1986.0,,
229,SRB,"Cabarkapa, Spasoje",FM,,,,,,,,,
230,USA,"Clayton, Kenneth",CM,,,2009.0,,,,,,
231,POL,"Filipowicz, Andrzej",IM,,,,,,,1975.0,,
232,RUS,"Filippov, Vladimir",FM,,,,,2006.0,,,,
233,GER,"Gerusel, Mathias",IM,,,,,,,1968.0,,
234,SYR,"Kassabe, Ezat",FM,,,,,1985.0,,,,
235,RUS,"Kastarnov, Stanislav",FM,,,,,,,,,
236,LIE,"Kock, Hans-Uwe",FM,,,,,,,,,
237,SRB,"Konarkowska-Sokolov, Henrijeta",WGM,WGM,,,,,1961.0,,1986.0,
238,RUS,"Kozlovskaya, Valentina",WGM,WGM,,,,,1965.0,,1976.0,
239,HUN,"Krizsan-Bilek, Gyulane",WIM,WIM,,,,,,,,
240,RUS,"Kuznetcov, Vladlen",FM,,,,,,,,,
241,CRO,"Marovic, Drazen",GM,,,,,,,1965.0,,1975.0
242,RUS,"Melkonyan, Leonard",FM,,,,,,,,,
