,country,name,title,woman_title,Woman Candidate Master (WCM),Candidate Master (CM),Woman FIDE Master (WFM),FIDE Master (FM),Woman International Master (WIM),International Master (IM),Woman Grandmaster (WGM),Grandmaster (GM)
10253,POR,"Correia, Sandra Ventura",WCM,WCM,2014.0,,,,,,,
10254,BRA,"Cruz, Ricardo Benares de Sa L.",FM,,,,,1995.0,,,,
10255,PAR,"Cubas, Jose Fernando",GM,,,,,,,,,2011.0
10256,CHI,"Cuevas Araya, Walter",FM,,,,,2009.0,,,,
10257,GER,"Dahm, Jochen",FM,,,,,2009.0,,,,
10258,SRB,"Danilovic, Aleksandar",IM,,,,,,,,,
10259,NED,"De Jong, Jan-Willem",IM,,,,,2005.0,,2007.0,,
10260,BRA,"Delai, Paula Fernanda",WFM,WFM,,,,,,,,
10261,PAR,"Delgado Ramirez, Neuris",GM,,,,,,,1999.0,,2002.0
10262,MDA,"Deseatnicov, Ivan",IM,,,,,,,,,
10263,ESP,"Diaz Castro, Sergio",FM,,,,,2017.0,,,,
10264,ARU,"Diaz, Maria M.A.",WFM,WFM,,,,,,,,
10265,RUS,"Dolomatov, Nikolai",FM,,,,,2013.0,,,,
10266,PAK,Dr. Murtaza Ali,CM,,,2020.0,,,,,,
10267,CHN,"Du, Shan",FM,,,,,,,,,
10268,NED,"Duijker, Rick",FM,,,,,2011.0,,,,
10269,ESP,"Duran Rodriguez, Moises",CM,,,2007.0,,,,,,
10270,VEN,"Duran Trujillo, Reinaldo Ricardo",IM,,,,,,,2012.0,,
10271,ISR,"Eden, Tomer",CM,,,2019.0,,,,,,
10272,MAR,"El Ghabi, Zahira",WFM,WFM,,,,,,,,
10273,AUT,"Enoeckl, Philipp",FM,,,,,2011.0,,,,
10274,DOM,"Estevez Polanco, Leonardo Rafael",FM,,,,,2018.0,,,,
10275,AZE,"Eyyubov, Zeynal",FM,,,,,2015.0,,,,
10276,ARG,"Fantini, Daniela",WFM,WFM,,,,,,,,
10277,UKR,"Fedorchuk, Sergey A.",GM,,,,,,,2000.0,,2002.0
10278,ARG,"Felgaer, Ruben",GM,,,,,,,,,
10279,CUB,"Fernandez Cardoso, Alexey",IM,,,,,,,2012.0,,
10280,ROU,"Filip, Lucian-Ioan",IM,,,,,,,2008.0,,
10281,RUS,"Fiseiskiy, Stanislav",FM,,,,,2007.0,,,,
10282,BER,"Flanagan, Mark",CM,,,2016.0,,,,,,
10283,CZE,"Forman, Stepan",FM,,,,,2008.0,,,,
10284,FRA,"Fressinet, Laurent",GM,,,,,,,1998.0,,2000.0
10285,GER,"Friedrichs, Klaus",FM,,,,,2012.0,,,,
10286,TOG,"Fumey, Enyonam Sewa",CM,,,2015.0,,,,,,
10287,ESP,"Garcia Roman, Daniel",IM,,,,,,,2006.0,,
10288,RUS,"Garifullin, Roman",FM,,,,,,,,,
10289,BRA,"Gazola, Vanessa Ramos",WCM,WCM,2010.0,,,,,,,
10290,ITA,"Genocchio, Daniele",IM,,,,,,,2010.0,,
10291,UKR,"Gerasimchuk, Sergej",FM,,,,,2008.0,,,,
10292,EGY,"Ghonimy, Soltan",IM,,,,,,,,,
10293,BLR,"Ginzburg, Mikhail",FM,,,,,2005.0,,,,
10294,ESP,"Gomez-Cabrero Lopez., Maria",WFM,WFM,,,,,,,,
10295,VEN,"Gonzalez Chirinos, Fidel Ernesto",CM,,,2014.0,,,,,,
10296,ESP,"Gonzalez De La Torre, Santiago",IM,,,,,,,2010.0,,
10297,ESP,"Gonzalez Galvan, Juan Manuel",FM,,,,,2009.0,,,,
10298,ESP,"Gonzalez Somoza, Oliver",FM,,,,,2007.0,,,,
10299,CUB,"Gonzalez Vidal, Yuri",GM,,,,,,,,,2009.0
10300,RUS,"Goptsiy, Vadim",FM,,,,,,,,,
10301,UKR,"Gordijchuk, Jury",FM,,,,,,,,,
10302,FRA,"Guidarelli, Laurent",GM,,,,,,,2002.0,,2014.0
10303,TKM,"Gurbanova, Maral",WFM,WFM,,,,,,,,
10304,POL,"Guzik, Jolanta",WFM,WFM,,,2005.0,,,,,
10305,DEN,"Hagen, Andreas Skytte",IM,,,,,2007.0,,2011.0,,
10306,NED,"Hamelink, Desiree",WIM,WIM,,,,,,,,
10307,ARM,"Harutjunyan, Gevorg",GM,,,,,,,,,2009.0
10308,ENG,"Haslinger, Stewart G",GM,,,,,,,2003.0,,2007.0
10309,TUR,"Haznedaroglu, Kivanc",GM,,,,,,,,,2009.0
10310,DOM,"Hernandez Sanchez, Elvis De La Caridad",FM,,,,,,,,,
10311,NOR,"Hersvik, Daniel",FM,,,,,,,,,
10312,HUN,"Horvath, Adam",GM,,,,,,,,,
10313,BAN,"Hossain, Enamul",GM,,,,,,,2002.0,,2008.0
10314,AZE,"Ibrahimov, Rasul",GM,,,,,,,2000.0,,2005.0
10315,RUS,"Iksanov, Ilja",FM,,,,,2012.0,,,,
10316,RUS,"Iljushina, Olga",WGM,WGM,,,2004.0,,2007.0,,2009.0,
10317,CRO,"Jakic, Ivan",FM,,,,,,,,,
10318,POL,"Jakubiec, Edyta",WIM,WIM,,,,,2005.0,,,
10319,FIN,"Jarvenpaa, Jari",FM,,,,,2013.0,,,,
10320,KOS,"Jashari, Ardian",FM,,,,,2016.0,,,,
10321,MRI,"Jotee, Ashvin",FM,,,,,2018.0,,,,
10322,GRE,"Kapnisis, Spyridon",GM,,,,,,,2004.0,,2011.0
10323,SLO,"Kaps, Darja",WGM,WGM,,,,,2002.0,,,
10324,TUR,"Karatekin, Tamer",FM,,,,,,,,,
10325,FIN,"Karttunen, Mika",IM,,,,,,,2001.0,,
10326,FIN,"Kauppila, Osmo",FM,,,,,2007.0,,,,
10327,RUS,"Kavalenia, Anastasia",WFM,WFM,,,,,,,,
10328,UGA,"Kawuma, Steven Male",FM,,,,,2008.0,,,,
10329,UZB,"Kayumov, Sergey",GM,,,,,,,,,2010.0
10330,POL,"Kempinski, Tomasz",FM,,,,,2014.0,,,,
10331,UKR,"Khaetsky, Roman",IM,,,,,,,,,
10332,BLR,"Khamitskiy, Sergei",IM,,,,,,,2007.0,,
10333,RUS,"Khvostova, Irina",WFM,WFM,,,,,,,,
10334,RUS,"Kireev, Aleksei",IM,,,,,,,,,
10335,ARM,"Kotanjian, Tigran",GM,,,,,,,2003.0,,2006.0
10336,HUN,"Kovacs, Adrian",CM,,,2020.0,,,,,,
10337,RUS,"Kozin, Yuri",CM,,,2020.0,,,,,,
10338,RUS,"Krasilnikov, Evgeni",FM,,,,,2020.0,,,,
10339,GER,"Kuci, Blerim",CM,,,2014.0,,,,,,
10340,SVK,"Kujovic, Michal",FM,,,,,2006.0,,,,
10341,ISR,"Kundin, Alexander",IM,,,,,,,,,
10342,RUS,"Kuprijanov, Ilija",IM,,,,,,,,,
10343,BLR,"Kutsankov, Vladimir",FM,,,,,2007.0,,,,
10344,RUS,"Kuzuev, Danil",IM,,,,,,,2001.0,,
10345,MYA,Kyaw Lay Htaik,FM,,,,,2019.0,,,,
10346,MYA,Kyaw Lin Naing,FM,,,,,2005.0,,,,
10347,FRA,"Lamorelle, Julien",FM,,,,,2010.0,,,,
10348,URU,"Larrea, Daniela",WCM,WCM,2016.0,,,,,,,
10349,VIE,"Le, Kieu Thien Kim",WIM,WIM,,,,,,,,
10350,KOR,"Lee, Sanghoon",FM,,,2006.0,,2012.0,,,,
10351,FRA,"Leroy, Adrien",FM,,,,,,,,,
10352,ESA,"Lievano Alvarado, Luis",CM,,,2017.0,,,,,,
10353,CUB,"Lopez Samon, Yurima",WFM,WFM,,,,,,,,
10354,DOM,"Lorenzo De Los Santos, Luis L.",FM,,,,,2018.0,,,,
10355,RUS,"Maidel, Anton",FM,,,,,,,,,
10356,ROU,"Manea, Alexandru",IM,,,,,2005.0,,2007.0,,
10357,ECU,"Manosalvas Castro, Evelyn",WFM,WFM,,,,,,,,
10358,PER,"Mansilla, Juan",FM,,,,,,,,,
10359,GER,"Markgraf, Alexander",IM,,,,,,,2011.0,,
10360,POL,"Markiewicz, Jacek",FM,,,,,2006.0,,,,
10361,ESP,"Martinez Martin, David",IM,,,,,2001.0,,2006.0,,
10362,UKR,"Martynov, Roman",FM,,,,,2016.0,,,,
10363,MAS,"Mas, Hafizulhelmi",IM,,,,,1995.0,,1998.0,,
10364,IND,Meenakshi Subbaraman,WGM,WGM,,,,,2001.0,,2004.0,
10365,ESP,"Melero Fidalgo, Juan De Dios",FM,,,,,2016.0,,,,
10366,PHI,"Mendoza, Beverly",WIM,WIM,,,,,,,,
10367,GEO,"Mgeladze, Tamaz",IM,,,,,2011.0,,2018.0,,
10368,ECU,"Mieles Palau, Cesar",FM,,,,,,,,,
10369,RUS,"Mirzoeva, Elmira",WGM,WGM,,,,,2000.0,,2002.0,
10370,SRB,"Mitrovic, Darko R",FM,,,,,,,,,
10371,SUD,"Mohamed Ahmed, Naiwa",WCM,WCM,2019.0,,,,,,,
10372,SVK,"Molnar, Peter",FM,,,,,2006.0,,,,
10373,ESP,"Mombiela Martinez, Gonzalo",CM,,,2013.0,,,,,,
10374,ECU,"Moncayo Romero, Evelyn",WIM,WIM,,,,,2002.0,,,
10375,CHI,"Moran Reyes, Maria Ines",WFM,WFM,,,2011.0,,,,,
10376,CUB,"Moreno Basulto, Nallibys",WFM,WFM,,,,,,,,
10377,SVK,"Movsesian, Julia",WGM,WGM,,,1998.0,,2002.0,,2006.0,
10378,GER,"Mueller, Fabian",FM,,,,,2007.0,,,,
10379,GER,"Mueller, Maximilian",FM,,,,,2005.0,,,,
10380,SRB,"Munizaba, Slobodan",FM,,,,,,,,,
10381,URU,"Muzzi, Eduardo",CM,,,2013.0,,,,,,
10382,SUD,"Nasreldin, Zeinab",WCM,WCM,2014.0,,,,,,,
10383,SRB,"Necevski, Aleksandar",FM,,,,,2015.0,,,,
10384,AUT,"Neff, Gregor",CM,,,2011.0,,,,,,
10385,GER,"Neumeier, Lars",FM,,,,,2019.0,,,,
10386,VIE,"Nguyen, Thanh Son",IM,,,,,,,2009.0,,
10387,RUS,"Nikolaev, Nikita",IM,,,,,,,2006.0,,
10388,NEP,"Niraula, Bhupendra",CM,,,2015.0,,,,,,
10389,BOT,"Njobvu, Ignatius",FM,,,2010.0,,2012.0,,,,
10390,USA,"Nur, Nawrose Farh",FM,,,,,,,,,
10391,IRQ,"Obada, Ahmad AzeezJawad",IM,,,,,,,1998.0,,
10392,ANG,"Oliveira, Luciano",IM,,,,,,,2014.0,,
10393,SWE,"Olsson, Anders",IM,,,,,,,,,
10394,NGR,"Onovughe, Ochuko Emmanuel",FM,,,,,2016.0,,,,
10395,SVK,"Orsagova, Erika",WCM,WCM,2019.0,,,,,,,
10396,CPV,"Ortega Amarelle, Mariano",IM,,,,,,,2012.0,,
10397,TKM,"Ovezova, Maisa",WFM,WFM,,,,,,,,
10398,PER,"Pacheco, Silvana",WFM,WFM,,,,,,,,
10399,COL,"Palencia Morales, Wilson Guillermo",IM,,,,,,,,,
10400,CRO,"Paljusaj, Edmond",FM,,,,,2010.0,,,,
10401,ENG,"Palliser, Richard J D",IM,,,,,,,2001.0,,
10402,NEP,"Parajuli, Rajendra Kumar",CM,,,2017.0,,,,,,
10403,RUS,"Pautov, Ilia",FM,,,,,2005.0,,,,
10404,CUB,"Perez, Rolando",FM,,,,,2009.0,,,,
10405,ENG,"Pert, Nicholas",GM,,,,,,,,,2001.0
10406,ENG,"Pert, Richard G",IM,,,,,,,2002.0,,
10407,AUT,"Pilaj, Herwig",IM,,,,,,,2004.0,,
10408,CUB,"Pina Vega, Sulennis",WGM,WGM,,,,,,,2002.0,
10409,ESP,"Plachkinova, Tatjana",WIM,WIM,,,,,2003.0,,,
10410,ESP,"Pons Carreras, David",FM,,,,,2004.0,,,,
10411,SRB,"Popovic, Milos T",IM,,,,,2005.0,,2007.0,,
10412,ISR,"Postny, Evgeny",GM,,,,,,,2000.0,,2002.0
10413,IND,Prasenjit Dutta,FM,,,,,2008.0,,,,
10414,SRB,"Prelevic, Dusko",FM,,,,,,,,,
10415,RUS,"Pridorozhni, Aleksei",GM,,,,,,,,,2011.0
10416,USA,"Pruess, David",IM,,,,,2002.0,,2006.0,,
10417,FRA,"Pucher, Olivier",FM,,,,,2006.0,,,,
10418,ENG,"Quilter, Thomas A",CM,,,2020.0,,,,,,
10419,CUB,"Ragolta Franco, Eduardo",FM,,,,,2009.0,,,,
10420,POL,"Rajlich, Iweta",IM,WGM,,,,,,2002.0,1997.0,
10421,IND,"Ramaswamy, Aarthie",WGM,WGM,,,,,,,2003.0,
10422,RUS,"Rasskazov, Vladimir",IM,,,,,2006.0,,2014.0,,
10423,IND,"Ratnakaran, K.",IM,,,,,,,2007.0,,
10424,BRA,"Rego, Vinicius V. de Almeida",FM,,,,,2013.0,,,,
10425,LAT,"Reizniece-Ozola, Dana",WGM,WGM,,,,,,,,
10426,RUS,"Rekhlov, Alexandr",FM,,,,,,,,,
10427,RUS,"Reshetnikov, Evgeny",FM,,,,,,,,,
10428,GER,"Reuss, Andreas",FM,,,,,,,,,
10429,FRA,"Riff, Jean-Noel",GM,,,,,2004.0,,2005.0,,2014.0
10430,SVK,"Rigo, Zsolt",IM,,,,,,,2006.0,,
10431,CUB,"Rosabal Contreras, Yonisbel",FM,,,,,,,,,
10432,JCI,"Rosenbeiger, Alan",CM,,,2012.0,,,,,,
10433,FRA,"Rouler, Charly",FM,,,,,2007.0,,,,
10434,UKR,"Rozhin, Boris",FM,,,,,2013.0,,,,
10435,RUS,"Rozkov, Nikolai",FM,,,,,,,,,
10436,RUS,"Rudykh, Stepan",CM,,,2020.0,,,,,,
10437,BUL,"Rusev, Rosen Yordanov",FM,,,,,2013.0,,,,
10438,EGY,"Sadek, Sameh",FM,,,,,2013.0,,,,
10439,ARM,"Sahakyan, Nona",WFM,WFM,,,2021.0,,,,,
10440,VEN,"Sanchez Castillo, Sarai Carolina",IM,WGM,,,,,,2010.0,2007.0,
10441,AUT,"Sandhoefner, Florian",FM,,,,,2005.0,,,,
10442,IND,"Sangeetha, M. R.",WFM,WFM,,,2018.0,,,,,
10443,CUB,"Santoya Gonzalez, Clara Maria",WFM,WFM,,,2009.0,,,,,
10444,SRB,"Saric, Sinisa",IM,,,,,2004.0,,2010.0,,
10445,ROU,"Sariteanu, Sabina",WFM,WFM,,,1991.0,,,,,
10446,USA,"Sarkar, Justin",IM,,,,,,,2001.0,,
10447,IND,"Sasikiran, Krishnan",GM,,,,,,,1999.0,,2000.0
10448,AUS,"Saw, Geoffrey",FM,,,,,,,,,
10449,GER,"Schenderowitsch, Michael",FM,,,,,2013.0,,,,
10450,CHI,"Sepulveda Rojas, Jorge",CM,,,2020.0,,,,,,
10451,CZE,"Serrano Salvador, Eduardo",FM,,,,,2004.0,,,,
10452,RUS,"Shabanov, Danil",CM,,,2018.0,,,,,,
10453,RUS,"Shaposhnikov, Evgeny",GM,,,,,1993.0,,2000.0,,2004.0
10454,UKR,"Sharapov, Evgeny",GM,,,,,,,1998.0,,2010.0
10455,RUS,"Shaydullina, Sandugach",WGM,WGM,,,,,2002.0,,2003.0,
10456,RUS,"Shomoev, Anton",GM,,,,,,,2001.0,,2002.0
10457,UKR,"Shymanskyi, Oleksandr",FM,,,,,2017.0,,,,
10458,UKR,"Sikula, Vaszilij",GM,,,,,,,2002.0,,2011.0
10459,RUS,"Silivanov, Sergej",FM,,,,,,,,,
10460,RUS,"Simakov, Vladimir A.",FM,,,,,2009.0,,,,
10461,ANG,"Simoes, Joao",CM,,,2013.0,,,,,,
10462,IND,"Singh, Arvinder Preet",FM,,,,,2018.0,,,,
10463,KAZ,"Sisabayev, Kuanysh",FM,,,,,2021.0,,,,
10464,CZE,"Skliba, Martin",FM,,,,,2009.0,,,,
10465,KAZ,"Skurygin, Anton",IM,,,,,,,2006.0,,
10466,UKR,"Smirnov, Oleksandr",FM,,,,,2009.0,,,,
10467,FRA,"Sohier, Julien",FM,,,,,2017.0,,,,
10468,AUT,"Steiner, Stefan",FM,,,,,2015.0,,,,
10469,LAT,"Strebkovs, Andrejs",IM,,,,,,,2009.0,,
10470,WLS,"Strugnell, Carl",FM,,,,,2013.0,,,,
10471,POL,"Stryjecki, Marek",IM,,,,,,,2000.0,,
10472,RUS,"Sychyova, Olga",WFM,WFM,,,2010.0,,,,,
10473,POL,"Szadkowski, Kamil",FM,,,,,2017.0,,,,
10474,POL,"Szelag, Marcin",IM,,,,,,,2001.0,,
10475,POL,"Tarachowicz, Alina",WFM,WFM,,,1993.0,,,,,
10476,ENG,"Taylor, Martin R",FM,,,,,,,,,
10477,IND,"Thejkumar, M. S.",GM,,,,,,,2009.0,,2017.0
10478,ISL,"Thorfinnsson, Bragi",GM,,,,,,,2003.0,,2018.0
10479,RUS,"Timurova, Lilia",WIM,WIM,,,,,2005.0,,,
10480,MYA,Tin Lay Shwe,WFM,WFM,,,2006.0,,,,,
10481,FIN,"Topi-Hulmi, Teemu",FM,,,,,2010.0,,,,
10482,HUN,"Toth, Andras",IM,,,,,,,2002.0,,
10483,RUS,"Trubizin, Ivan",FM,,,,,2013.0,,,,
10484,RUS,"Tsigelnitskiy, Ilusha",FM,,,,,,,,,
10485,RUS,"Tsyrulev, Andrey",FM,,,,,,,,,
10486,RUS,"Turdyev, Anvar",FM,,,,,2011.0,,,,
10487,COL,"Uribe, Mauricio",IM,,,,,2007.0,,2008.0,,
10488,CAN,"Vaingorten, Yaaqov",FM,,,,,2010.0,,,,
10489,ROU,"Vajda, Levente",GM,,,,,,,1996.0,,2001.0
10490,HUN,"Valko, Krisztian",FM,,,,,2009.0,,,,
10491,FRA,"Vallin, Guillaume",IM,,,,,,,2000.0,,
10492,NED,"Van Beek, Alexander",IM,,,,,2005.0,,2008.0,,
10493,RSA,"Van den Heever, Donovan",IM,,,2008.0,,2012.0,,2014.0,,
10494,NED,"Van Veen, Oscar",FM,,,,,2004.0,,,,
10495,ARG,"Varela, Gaston",FM,,,,,,,,,
10496,IND,Vinod Kumar Sharma,CM,,,2021.0,,,,,,
10497,RUS,"Vlasenko, Alexey",IM,,,,,2008.0,,2018.0,,
10498,ROU,"Voicu-Jagodzinsky, Carmen",WGM,WGM,,,1996.0,,2002.0,,2006.0,
10499,GER,"Voigt, Roland",IM,,,,,,,2019.0,,
10500,SRB,"Von Wantoch-Rekowski, Danijela",WFM,WFM,,,,,,,,
10501,RUS,"Voronov, Dmitry",FM,,,,,2005.0,,,,
10502,MNE,"Vujacic, Igor",CM,,,2019.0,,,,,,
10503,UGA,"Wanyama, Harold",FM,,,,,2012.0,,,,
10504,PAK,"Wasim, Akram",CM,,,2020.0,,,,,,
10505,GER,"Wegener, Olaf",IM,,,,,,,2004.0,,
10506,USA,"Whatley, Andrew W",FM,,,,,,,,,
10507,GER,"Wiesner, Gundula",WFM,WFM,,,,,,,,
10508,USA,"Winer, Steven",FM,,,,,,,,,
10509,CHN,"Xu, Yuanyuan",WGM,WGM,,,,,,,,
10510,USA,"Yates-Doerr, Riley",FM,,,,,,,,,
10511,UZB,"Yusubalieva, Sevara",WFM,WFM,,,,,,,,
10512,HUN,"Zakarias, David",FM,,,,,2016.0,,,,
10513,RUS,"Zakharov, Alexander S.",IM,,,,,,,2000.0,,
10514,UKR,"Zakharov, Vladimir",IM,,,,,,,,,
10515,BOL,"Zambrana, Oswaldo",GM,,,,,,,2004.0,,2007.0
10516,POL,"Zawadzka, Magdalena",WFM,WFM,,,2004.0,,,,,
10517,SUI,"Zenklusen, Rico",IM,,,,,2004.0,,2007.0,,
10518,ESA,"Zepeda, Sonia",WIM,WIM,,,,,2007.0,,,
10519,RUS,"Zhadanov, Vasili B.",FM,,,,,2010.0,,,,
10520,ISR,"Zhizmer, Yuri",IM,,,,,,,2003.0,,
10521,CRO,"Zovko, Mario",FM,,,,,2013.0,,,,
10522,CAN,"Zugic, Igor",IM,,,,,,,,,
10523,GER,"Zumsande, Martin",IM,,,,,,,2007.0,,
10524,RUS,"Zuttis, Sergey",FM,,,,,,,,,
10525,SLO,"Zvan, Ziga",FM,,,,,2010.0,,,,
10526,FRA,"Abergel, Thal",GM,,,,,,,2003.0,,2008.0
10527,RUS,"Akimov, Ivan",FM,,,,,,,,,
10528,UAE,"Al-Hammadi, Fatma",WFM,WFM,,,,,,,,
10529,IRQ,"Al-Rufaye, Iman Hasan Mohammed",WIM,WIM,,,,,,,,
10530,YEM,"Al-Zendani, Zendan",IM,,,,,,,,,
10531,NCA,"Alfaro, William",FM,,,,,2009.0,,,,
10532,KAZ,"Aligozhin, Zhaslan",FM,,,,,2005.0,,,,
10533,GEO,"Aliyeva, Gunay",WFM,WFM,,,2014.0,,,,,
10534,NED,"Amesz, Jaap",CM,,,2016.0,,,,,,
10535,MEX,"Ancheyta Tejas, Victor Eligio",FM,,,,,,,,,
10536,VEN,"Andrade Andrade, Miguel Ulises",CM,,,2014.0,,,,,,
10537,GER,"Armbruster, Alexander",FM,,,,,2004.0,,,,
10538,ARM,"Aronian, Levon",GM,,,,,,,1997.0,,2000.0
10539,LTU,"Asauskas, Henrikas",FM,,,,,2006.0,,,,
10540,TUR,"Atalik, Ekaterina",IM,WGM,,,,,,2007.0,,
10541,JPN,"Averbukh, Alex",CM,,,2016.0,,,,,,
10542,GER,"Bader, Katharina",WFM,WFM,,,2004.0,,,,,
10543,RUS,"Balashov, Vladimir",FM,,,,,,,,,
10544,HUN,"Balint, Andras",FM,,,,,2004.0,,,,
10545,ISR,"Bar, Roman",IM,,,,,,,2002.0,,
10546,RUS,"Bataev, Roman",FM,,,,,2007.0,,,,
10547,ITA,"Bentivegna, Francesco",FM,,,,,2007.0,,,,
10548,CZE,"Bernard, Borek",FM,,,,,2019.0,,,,
10549,ENG,"Bigg, Andrew J",FM,,,,,2010.0,,,,
10550,AUS,"Bjelobrk, Igor",IM,,,,,2005.0,,2013.0,,
10551,NOR,"Bjerke, Silje",WIM,WIM,,,2006.0,,2009.0,,,
10552,FRA,"Blot, Jerome",FM,,,,,,,,,
10553,HON,"Bobadilla, Yelso",CM,,,2012.0,,,,,,
10554,RUS,"Bocharov, Dmitry",GM,,,,,,,1999.0,,2003.0
10555,RUS,"Bogoroditsky, Alexey",FM,,,,,,,,,
10556,RUS,"Boiarintsev, Vitaly",FM,,,,,2015.0,,,,
10557,HUN,"Bokros, Albert",IM,,,,,,,1999.0,,
10558,RUS,"Bolshakov, Anton",FM,,,,,2005.0,,,,
10559,NOR,"Borchgrevink, Harald B",FM,,,,,2007.0,,,,
10560,SRB,"Boskovic, Drasko",IM,,,,,,,2005.0,,
10561,TKM,"Brineva, Elena S.",WFM,WFM,,,,,,,,
10562,NED,"Brokken, Dennis",IM,,,,,,,2017.0,,
10563,GER,"Bromberger, Stefan",GM,,,,,,,2002.0,,2014.0
10564,USA,"Bruzon Batista, Lazaro",GM,,,,,,,,,1999.0
10565,RUS,"Bryzgalin, Kirill",GM,,,,,,,2006.0,,2008.0
10566,GER,"Bunzmann, Dimitrij",GM,,,,,,,1999.0,,2003.0
10567,SUI,"Buss, Ralph",IM,,,,,2004.0,,2010.0,,
10568,VEN,"Bustamante Montoni, Richard De Jesus",IM,,,,,,,,,
10569,PER,"Calle, Miryam",WFM,WFM,,,2008.0,,,,,
10570,SWE,"Carlsson, Pontus",GM,,,,,,,2005.0,,2007.0
10571,FRA,"Carmeille, Ludovic",FM,,,,,2009.0,,,,
10572,VEN,"Castaneda Montanez, Katiuska Marelis",WCM,WCM,2014.0,,,,,,,
10573,ESP,"Castellanos Rodriguez, Renier",IM,,,,,,,2005.0,,
10574,RSA,"Cawdery, Daniel",IM,,,2008.0,,2013.0,,2014.0,,
10575,ESA,"Chavez, Ricardo Ernesto",FM,,,,,,,,,
10576,GEO,"Chkhaidze, Nikoloz",FM,,,,,2015.0,,,,
10577,BAN,"Chowdhury, Mahmuda Hoque",WCM,WCM,2015.0,,,,,,,
10578,BLR,"Churun, Polina",WFM,WFM,,,,,,,,
10579,COL,"Cifuentes, John Jairo",IM,,,2007.0,,,,2017.0,,
10580,IRL,"Collins, Sam E.",IM,,,,,2003.0,,2004.0,,
10581,CYP,"Constantinou, Pavlos",CM,,,2014.0,,,,,,
10582,ITA,"D'Innocente, Stefano",FM,,,,,2006.0,,,,
10583,ROU,"Daianu, Cristian-Clement",FM,,,,,2010.0,,,,
10584,IRI,"Darban, Morteza",IM,,,,,2004.0,,2007.0,,
10585,BLR,"Davydova, Natalia",WFM,WFM,,,,,,,,
10586,DOM,"De La Cruz Nina, Mercedes Cristina",WFM,WFM,,,2004.0,,,,,
10587,FRA,"Decosse, Jean-Fabien",CM,,,2011.0,,,,,,
10588,PHI,"Del Mundo, Anton Paolo C.",FM,,,,,2008.0,,,,
10589,ARG,"Della Morte, Pablo",IM,,,,,,,2013.0,,
10590,NGR,"Dieyi, Roland",CM,,,2015.0,,,,,,
10591,POR,"Diogo, Vasco",FM,,,,,2009.0,,,,
10592,MNC,"Dornbusch, Tatiana",WGM,WGM,,,,,1999.0,,2006.0,
10593,AUS,"Dragicevic, Domagoj",FM,,,,,2012.0,,,,
10594,VEN,"Duran Reina, Luisa Elena",WIM,WIM,,,,,2000.0,,,
10595,CZE,"Dvorak, Tomas",FM,,,,,,,,,
10596,CMR,"Ebosse, Kingue Victor Patrick",FM,,,,,2015.0,,,,
10597,RUS,"Erdineeva, Tatiana",WFM,WFM,,,,,,,,
10598,SWE,"Eriksson, Jonas",FM,,,,,2005.0,,,,
10599,TUR,"Erturan, Yakup",IM,,,,,2004.0,,2007.0,,
10600,BRA,"Farhat Willemstein, Stela Souza",WFM,WFM,,,2020.0,,,,,
10601,RUS,"Fatyanov, Dmitry",FM,,,,,2007.0,,,,
10602,RUS,"Fedorkov, Vladislav",FM,,,,,,,,,
10603,ARG,"Fernandez Novas, Liliana",WFM,WFM,,,,,,,,
10604,CRO,"Filipovic, Marko",FM,,,,,2007.0,,,,
10605,UKR,"Fingerov, Dmitry",IM,,,,,,,2001.0,,
10606,ARG,"Fiori, Alberto Nicolas",CM,,,2020.0,,,,,,
10607,ARG,"Fiori, Hector",CM,,,2020.0,,,,,,
10608,EST,"Firstov, Juri",FM,,,,,2016.0,,,,
10609,ECU,"Flores Villalva, Gina",WFM,WFM,,,,,,,,
10610,ARG,"Flores, Diego",GM,,,,,,,,,2008.0
10611,ESP,"Fluvia Poyatos, Joan",IM,,,,,,,2002.0,,
10612,BRA,"Fontana, Rodrigo Dal Bosco",FM,,,,,,,,,
10613,ESP,"Franco Alonso, Alejandro",IM,,,,,,,,,
10614,RUS,"Frizyuk, Natalia",WFM,WFM,,,2015.0,,,,,
10615,CUB,"Frometa Escriba, Daylenis",WFM,WFM,,,2009.0,,,,,
10616,POL,"Fudalej, Michal",FM,,,,,2005.0,,,,
10617,RUS,"Gabrielian, Artur",GM,,,,,,,2002.0,,2009.0
10618,BOT,"Gaealafshwe, Barileng",CM,,,2008.0,,,,,,
10619,GER,"Gaede, Derek",FM,,,,,2018.0,,,,
10620,GER,"Gallien, Fabian",CM,,,2010.0,,,,,,
10621,GEO,"Gaprindashvili, Valeriane",GM,,,,,,,1998.0,,2001.0
10622,UKR,"Gasanov, Eldar",GM,,,,,,,1999.0,,2007.0
10623,ARM,"Gasparian, Narine",WIM,WIM,,,,,,,,
10624,ROU,"Geanta, Horia-Ioan",FM,,,,,2014.0,,,,
10625,IRI,"Ghaem Maghami, Ehsan",GM,,,,,,,2000.0,,2001.0
10626,ETH,"Ghebrehiwet , Haftom Ghebremedhn",CM,,,2016.0,,,,,,
10627,FRA,"Goldsztejn, Gildas",IM,,,,,,,2008.0,,
10628,SLO,"Gombac, Jan",FM,,,,,,,,,
10629,RUS,"Gontcharova, Olga",WFM,WFM,,,,,,,,
10630,ESP,"Gonzalez Marrero, Jacob",FM,,,,,2005.0,,,,
