game_id,game_order,event,site,date_played,round,white,black,result,white_elo,black_elo,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,date_created,file_name
82e95c59-8000-4562-aad1-66ccdbf6ded8,43,Wch U12,Oropesa del Mar,1999.10.28,5,"Stellwagen, Daniel R","Nakamura, Hikaru",1/2-1/2,2254,2204,draw,,draw,,0,B93,2022-07-15T18:12:54+0000,Nakamura.pgn
5e286918-c354-4f38-b253-913d203a6b24,44,Wch U12,Oropesa del Mar,1999.10.29,6,"Nakamura, Hikaru","Takhirov, Farkhad",1-0,2204,,"Nakamura, Hikaru",2204,"Takhirov, Farkhad",,0,B09,2022-07-15T18:12:54+0000,Nakamura.pgn
d1fa93d3-eefe-428e-b8aa-7ef7990aa10a,45,Wch U12,Oropesa del Mar,1999.10.31,7,"Khusnutdinov, Ruslan","Nakamura, Hikaru",1-0,2397,2204,"Khusnutdinov, Ruslan",2397,"Nakamura, Hikaru",2204,193,A25,2022-07-15T18:12:54+0000,Nakamura.pgn
ee722efb-7685-42be-8125-7d54624054d8,46,Wch U12,Oropesa del Mar,1999.11.01,8,"Rangarajan, S.","Nakamura, Hikaru",0-1,2086,2204,"Nakamura, Hikaru",2204,"Rangarajan, S.",2086,118,B22,2022-07-15T18:12:54+0000,Nakamura.pgn
2ae49f67-4d2b-428f-b120-1324b62c290c,47,Wch U12,Oropesa del Mar,1999.11.02,9,"Nakamura, Hikaru","Romanov, Evgeny",1-0,2204,2179,"Nakamura, Hikaru",2204,"Romanov, Evgeny",2179,25,C45,2022-07-15T18:12:54+0000,Nakamura.pgn
86c6ea75-7a8c-4c58-b79e-13c82b7344f6,48,Wch U12,Oropesa del Mar,1999.11.04,10,Wang Yue,"Nakamura, Hikaru",1-0,2344,2204,Wang Yue,2344,"Nakamura, Hikaru",2204,140,A49,2022-07-15T18:12:54+0000,Nakamura.pgn
5ca66d12-26a1-4b6e-a999-e67ed4422d53,49,Wch U12,Oropesa del Mar,1999.11.05,11,"Nakamura, Hikaru","Megaranta, Susanto",0-1,2204,,"Megaranta, Susanto",,"Nakamura, Hikaru",2204,0,B13,2022-07-15T18:12:54+0000,Nakamura.pgn
82620631-f89e-4e4b-a8b4-7b94f4e7a095,50,Eastern Open,Washington DC USA,1999.12.27,3,"Nakamura,H","Adu,O",1-0,2204,2254,"Nakamura,H",2204,"Adu,O",2254,-50,B82,2022-07-15T18:12:54+0000,Nakamura.pgn
06ec2f5c-ed81-48a7-847a-3b83715e5b4e,51,Eastern Open,Washington DC USA,1999.12.29,7,"Nakamura,H","Kaufman,La",1/2-1/2,2204,2427,draw,,draw,,0,C12,2022-07-15T18:12:54+0000,Nakamura.pgn
175e5dba-cbf1-41ec-bcb8-d5f98e2709e8,52,Eastern Open,Washington DC USA,1999.12.29,8,"Friedel,J","Nakamura,H",0-1,,2204,"Nakamura,H",2204,"Friedel,J",,0,B93,2022-07-15T18:12:54+0000,Nakamura.pgn
3c067638-845d-46e4-a93c-8b4eea3e84e0,53,Kasparov Cadet GP,Internet,2000.01.11,1.2,"Nakamura,H","Efimenko,Z",1/2-1/2,2204,2332,draw,,draw,,0,C17,2022-07-15T18:12:54+0000,Nakamura.pgn
14225853-4e1a-4e37-b039-b5a438964b8e,54,Kasparov Cadet GP,Internet,2000.01.11,1.1,"Efimenko,Z","Nakamura,H",1-0,2332,2204,"Efimenko,Z",2332,"Nakamura,H",2204,128,B99,2022-07-15T18:12:54+0000,Nakamura.pgn
5b21cf4d-91b4-4f87-973c-09830b7555ad,55,New York Open,New York USA,2000.05.05,1,"Epishin,V","Nakamura,H",1/2-1/2,2667,2261,draw,,draw,,0,D97,2022-07-15T18:12:54+0000,Nakamura.pgn
543b8e20-6cc9-4b49-95d9-c7931f30b2cd,56,New York Open,New York USA,2000.05.08,6,"Nakamura,H","Marzolo,C",1/2-1/2,2261,2396,draw,,draw,,0,B23,2022-07-15T18:12:54+0000,Nakamura.pgn
faff81ec-e37c-4be1-ac85-20242351a63c,57,FSIMB June,Budapest HUN,2000.06.03,1,"Goldenberg,D","Nakamura,H",0-1,2244,2261,"Nakamura,H",2261,"Goldenberg,D",2244,17,B95,2022-07-15T18:12:54+0000,Nakamura.pgn
db041102-f795-4c8f-9115-4ec375d73ea8,58,FSIMB June,Budapest HUN,2000.06.04,2,"Nakamura,H","Vadasz,L",0-1,2261,2285,"Vadasz,L",2285,"Nakamura,H",2261,24,B15,2022-07-15T18:12:54+0000,Nakamura.pgn
1ca32ac1-3db2-4ab4-a11a-e3ff59c93f14,59,FSIMB June,Budapest HUN,2000.06.05,3,"Zivanic,M","Nakamura,H",1-0,2317,2261,"Zivanic,M",2317,"Nakamura,H",2261,56,D91,2022-07-15T18:12:54+0000,Nakamura.pgn
